timestamp_utc,commit_sha,os,book_type,message_type,p50_ns,p99_ns,p999_ns
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,LadderBook,A,190,1222,2555
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,LadderBook,C,361,1182,1703
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,LadderBook,D,481,1393,1994
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,LadderBook,E,361,1172,1693
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,LadderBook,U,692,2074,3286
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,LadderBook,X,361,1173,1693
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,OrderBook,A,330,1353,2986
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,OrderBook,C,551,1342,2004
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,OrderBook,D,691,1572,2364
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,OrderBook,E,551,1333,1964
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,OrderBook,U,972,2254,12133
2026-07-21T19:26:09+00:00,2f442b8fd224,Linux,OrderBook,X,551,1333,1954
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,LadderBook,A,120,711,1912
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,LadderBook,C,271,721,942
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,LadderBook,D,351,852,1131
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,LadderBook,E,270,721,942
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,LadderBook,U,441,972,1312
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,LadderBook,X,270,721,942
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,OrderBook,A,181,701,1993
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,OrderBook,C,371,832,1222
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,OrderBook,D,421,901,1262
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,OrderBook,E,371,832,1192
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,OrderBook,U,601,1302,1863
2026-07-21T19:30:20+00:00,3fa1424280f5,Linux,OrderBook,X,371,841,1211
